# Fix print output for fix output
1275000 -0.00224521    -0.000145246 0.00570875
1276000 -0.000661375    -0.0022634 0.00610332
1277000 0.02723    -0.000901475 0.00785617
1278000 0.0100411    0.000274378 0.0101123
1279000 0.0118315    -0.00388726 0.0126709
1280000 -0.00441099    0.00206666 0.0215972
1281000 -0.0019347    0.000953531 0.0139627
1282000 -0.000525906    -0.00011912 0.0118953
1283000 -0.000241345    -0.000135751 0.0173866
1284000 -0.00305105    0.000777083 0.00182917
1285000 0.0134376    0.000893267 0.0394862
1286000 -3.56285e-05    -0.000725723 0.00844079
1287000 0.00159101    -9.12728e-05 0.0102771
1288000 -0.000396561    0.000454882 0.0266562
1289000 0.00457305    -0.000547659 0.0145431
1290000 0.00818259    -0.000820254 0.0149098
1291000 0.00179022    -0.000664448 0.0193998
1292000 -0.00903155    -0.00117745 -0.00467365
1293000 -0.000629486    0.000122632 0.00290306
1294000 -0.0023622    -8.88808e-05 0.0103965
1295000 -0.000638134    0.000872032 0.00340243
1296000 0.00419218    0.0020595 0.0219853
1297000 0.00269061    0.00168497 0.0062402
1298000 0.008424    -0.00232706 0.0147508
1299000 -0.00360892    -0.000297625 0.000105522
1300000 0.0161237    0.000413197 0.00324352
1301000 -0.00410598    -0.00138257 0.0261938
1302000 0.0395026    0.000134492 0.00592557
1303000 -0.00397137    0.00124063 0.00937054
1304000 -0.00150341    -0.000804147 0.00746625
1305000 0.0255651    0.000712693 0.0122946
1306000 0.00364504    0.00150746 0.0121924
1307000 0.00776426    -0.00304562 6.16391e-05
1308000 0.00248714    0.00357347 -0.00399628
1309000 0.0358986    -0.00169334 -0.00382758
1310000 -0.000380087    -0.00130759 0.0108
1311000 -0.00347553    -0.000970609 0.0208842
1312000 0.0044611    0.00156863 0.0119457
1313000 0.00358441    0.00308773 0.0373331
1314000 -0.00204145    0.00105188 0.000923069
1315000 -0.00234649    0.000925794 0.00393316
1316000 0.000810043    -0.00110486 0.0153991
1317000 0.000914257    0.000381812 0.0068288
1318000 -0.00140619    0.000799614 0.00476882
1319000 0.00144292    -0.000488924 0.0197582
1320000 0.000157564    -0.0015707 -0.0101277
1321000 0.000809547    -0.000177342 0.0249902
1322000 -0.00150229    -0.000540673 0.0133234
1323000 -0.000357883    0.000968633 0.0254289
