# 579 Particles
   Step          Time          v_magx         v_magy         v_magz       v_magnorm        v_tmag         v_emag         PotEng         TotEng    
      4550   0.455         -0.016209369    0.06301723    -0.0037305136   0.065175392    596.37709      43.080594     -2132.05       -2132.05      
      4600   0.46          -0.016910431    0.06349889    -0.0035486291   0.065807784    593.11413      42.931769     -2132.1988     -2132.1988    
      4650   0.465         -0.015948125    0.063700482   -0.0032988923   0.065749349    588.39212      42.792464     -2132.3381     -2132.3381    
      4700   0.47          -0.015659453    0.063635952   -0.003264248    0.065615609    583.41397      42.652102     -2132.4785     -2132.4785    
      4750   0.475         -0.014604691    0.063877814   -0.0049859819   0.06571554     576.94745      42.498515     -2132.632      -2132.632     
      4800   0.48          -0.015049494    0.063898886   -0.0059018081   0.065911959    567.48828      42.352201     -2132.7784     -2132.7784    
      4850   0.485         -0.013956795    0.065689797   -0.0059251361   0.067416977    565.64282      42.166501     -2132.9641     -2132.9641    
      4900   0.49          -0.013961652    0.06634399    -0.0061324851   0.068073931    571.32014      42.006003     -2133.1246     -2133.1246    
      4950   0.495         -0.013499816    0.066032572   -0.0065133991   0.067712407    576.76774      41.806002     -2133.3246     -2133.3246    
      5000   0.5           -0.01402973     0.066883168   -0.0062402527   0.068623117    584.35867      41.635638     -2133.4949     -2133.4949    
      5050   0.505         -0.013160062    0.069085137   -0.0068035381   0.070655725    596.58481      41.452457     -2133.6781     -2133.6781    
      5100   0.51          -0.013591014    0.070643174   -0.0074558835   0.07232402     603.6667       41.232524     -2133.898      -2133.898     
      5150   0.515         -0.013267127    0.070438819   -0.0070829305   0.072026466    600.83167      41.041561     -2134.089      -2134.089     
      5200   0.52          -0.013191923    0.071141101   -0.007134481    0.072704772    600.17387      40.912804     -2134.2178     -2134.2178    
      5250   0.525         -0.012766868    0.072036419   -0.0060053599   0.073405061    595.2471       40.737055     -2134.3935     -2134.3935    
      5300   0.53          -0.012087906    0.073322643   -0.0061101017   0.074563133    592.29091      40.520835     -2134.6097     -2134.6097    
      5350   0.535         -0.01253976     0.073046485   -0.0073712823   0.074480671    586.33885      40.337001     -2134.7936     -2134.7936    
      5400   0.54          -0.01239016     0.073582132   -0.0075562331   0.074999619    577.85909      40.165076     -2134.9655     -2134.9655    
      5450   0.545         -0.012060791    0.074267219   -0.0071373716   0.075577937    562.33317      39.979765     -2135.1508     -2135.1508    
      5500   0.55          -0.012644024    0.074540289   -0.0078940758   0.076016067    542.21604      39.771948     -2135.3586     -2135.3586    
      5550   0.555         -0.012822974    0.075045065   -0.0076858079   0.076519684    527.45271      39.58944      -2135.5411     -2135.5411    
      5600   0.56          -0.012552526    0.07619149    -0.0081803145   0.077650671    520.54893      39.376511     -2135.754      -2135.754     
      5650   0.565         -0.012941754    0.076465179   -0.0077472911   0.07793865     518.69348      39.180718     -2135.9498     -2135.9498    
      5700   0.57          -0.012562654    0.076064337   -0.0069921114   0.077411196    523.39153      38.992049     -2136.1385     -2136.1385    
      5750   0.575         -0.012553726    0.076797899   -0.0068208111   0.078115535    530.72497      38.863376     -2136.2672     -2136.2672    
      5800   0.58          -0.012101072    0.07773553    -0.0071361326   0.078994765    523.65935      38.68996      -2136.4406     -2136.4406    
      5850   0.585         -0.01108836     0.078091947   -0.0075817097   0.079238793    507.10084      38.506284     -2136.6243     -2136.6243    
      5900   0.59          -0.010696062    0.078373697   -0.0075899211   0.079463508    495.91527      38.317249     -2136.8133     -2136.8133    
      5950   0.595         -0.010946631    0.078932917   -0.0069291765   0.079989047    492.97113      38.11322      -2137.0173     -2137.0173    
      6000   0.6           -0.010776288    0.079934328   -0.0070178704   0.080962186    490.22921      37.912793     -2137.2178     -2137.2178    
