# 561 Particles

   Step          Time          v_magx         v_magy         v_magz       v_magnorm        v_tmag         v_emag         PotEng         TotEng    
      4700   0.47           0.010396827    0.11645237    -0.037477744    0.12277553     578.89947      40.035645     -2081.915      -2081.915     
      4750   0.475          0.010279132    0.11770204    -0.038865005    0.12437813     556.04348      39.844806     -2082.1059     -2082.1059    
      4800   0.48           0.010505914    0.11969318    -0.039246021    0.12640048     538.78657      39.690366     -2082.2603     -2082.2603    
      4850   0.485          0.010227443    0.1208838     -0.039506201    0.12758618     539.16599      39.509433     -2082.4413     -2082.4413    
      4900   0.49           0.011592963    0.12251934    -0.03932542     0.12919704     550.93891      39.348082     -2082.6026     -2082.6026    
      4950   0.495          0.012174787    0.12323758    -0.037284256    0.12932843     558.30131      39.201204     -2082.7495     -2082.7495    
      5000   0.5            0.011408394    0.12328772    -0.038728968    0.12973028     553.7932       39.007055     -2082.9436     -2082.9436    
      5050   0.505          0.010846684    0.12316631    -0.038272523    0.12943097     546.90222      38.854368     -2083.0963     -2083.0963    
      5100   0.51           0.012325278    0.12396264    -0.037981207    0.13023525     531.65078      38.695125     -2083.2556     -2083.2556    
      5150   0.515          0.012439343    0.12569656    -0.037585151    0.13178393     520.69808      38.515628     -2083.4351     -2083.4351    
      5200   0.52           0.01296905     0.12683019    -0.036918335    0.13272926     520.75993      38.307298     -2083.6434     -2083.6434    
      5250   0.525          0.012568957    0.12769214    -0.037506769    0.13367879     526.71577      38.1107       -2083.84       -2083.84      
      5300   0.53           0.012533269    0.12833963    -0.037091351    0.13417866     531.28928      37.94863      -2084.0021     -2084.0021    
      5350   0.535          0.013812486    0.12895539    -0.0369755      0.13486091     527.11287      37.712667     -2084.238      -2084.238     
      5400   0.54           0.013626649    0.13049158    -0.03744411     0.13643973     522.64674      37.485779     -2084.4649     -2084.4649    
      5450   0.545          0.013902077    0.13177668    -0.037307503    0.13765977     517.6001       37.311159     -2084.6395     -2084.6395    
      5500   0.55           0.013216665    0.13190886    -0.036292877    0.13744745     514.56113      37.152592     -2084.7981     -2084.7981    
      5550   0.555          0.013244935    0.13280387    -0.035967837    0.13822438     514.20307      37.029793     -2084.9209     -2084.9209    
      5600   0.56           0.013028928    0.13277326    -0.035848161    0.13814334     508.9523       36.89115      -2085.0595     -2085.0595    
      5650   0.565          0.013667534    0.13388282    -0.035661769    0.13922346     501.34264      36.69016      -2085.2605     -2085.2605    
      5700   0.57           0.013346849    0.13506147    -0.036480652    0.14053675     494.96583      36.480253     -2085.4704     -2085.4704    
      5750   0.575          0.013355184    0.13596616    -0.036834664    0.14149894     492.34978      36.28914      -2085.6615     -2085.6615    
      5800   0.58           0.013039271    0.1377181     -0.036275791    0.14301129     495.45584      36.104053     -2085.8466     -2085.8466    
      5850   0.585          0.012710519    0.13933111    -0.036671912    0.14463591     495.33907      35.903732     -2086.047      -2086.047     
      5900   0.59           0.011862408    0.13913788    -0.036834034    0.14441887     488.5394       35.707412     -2086.2433     -2086.2433    
