# 559 Particles
      3700   0.37           0.0058709172  -0.057045272    0.011368648    0.058462611    645.07245      40.933547     -2022.3821     -2022.3821    
      3750   0.375          0.0058201122  -0.057847844    0.012251001    0.059416612    641.71513      40.824816     -2022.4908     -2022.4908    
      3800   0.38           0.0064874087  -0.057960812    0.013606476    0.059888884    641.06569      40.701439     -2022.6142     -2022.6142    
      3850   0.385          0.0058622699  -0.057999682    0.013352372    0.059804809    638.94582      40.536865     -2022.7787     -2022.7787    
      3900   0.39           0.0056463045  -0.058692141    0.013393044    0.060465046    635.28493      40.393466     -2022.9221     -2022.9221    
      3950   0.395          0.006177605   -0.059208964    0.013968731    0.061147278    626.41849      40.223483     -2023.0921     -2023.0921    
      4000   0.4            0.0057175323  -0.059624769    0.015507821    0.061873223    624.15796      40.080138     -2023.2355     -2023.2355    
      4050   0.405          0.0053919351  -0.060702638    0.016641778    0.063173032    622.44748      39.907257     -2023.4083     -2023.4083    
      4100   0.41           0.0059749506  -0.060805616    0.017241475    0.063484577    617.19987      39.786571     -2023.529      -2023.529     
      4150   0.415          0.0058006334  -0.062048941    0.017656419    0.064772429    600.70619      39.593591     -2023.722      -2023.722     
      4200   0.42           0.0064915057  -0.062550593    0.018701631    0.065608439    590.70007      39.436076     -2023.8795     -2023.8795    
      4250   0.425          0.0059993139  -0.062026426    0.020098523    0.065476866    596.61337      39.28564      -2024.03       -2024.03      
      4300   0.43           0.0066259796  -0.061335652    0.019682763    0.064756289    613.15709      39.168421     -2024.1472     -2024.1472    
      4350   0.435          0.0073945921  -0.061779025    0.019951627    0.06534061     624.74922      38.997555     -2024.318      -2024.318     
      4400   0.44           0.0082371899  -0.060850118    0.019293438    0.06436478     624.87771      38.842736     -2024.4729     -2024.4729    
      4450   0.445          0.0079308263  -0.062024099    0.020616056    0.065840023    616.45919      38.630036     -2024.6856     -2024.6856    
      4500   0.45           0.0081006843  -0.062845197    0.019817038    0.066391677    618.63237      38.456748     -2024.8589     -2024.8589    
      4550   0.455          0.0087273131  -0.063746888    0.020035143    0.067388713    624.06361      38.300847     -2025.0148     -2025.0148    
      4600   0.46           0.0092020716  -0.06438408     0.019844921    0.067998594    617.15383      38.131685     -2025.1839     -2025.1839    
      4650   0.465          0.0086477132  -0.064369438    0.019862964    0.067917191    597.49999      37.950083     -2025.3655     -2025.3655    
      4700   0.47           0.0088053312  -0.065030182    0.02064373     0.068794055    582.30271      37.783522     -2025.5321     -2025.5321    
      4750   0.475          0.0089532972  -0.065006049    0.019679787    0.06850724     574.52313      37.614323     -2025.7013     -2025.7013    
      4800   0.48           0.0088349411  -0.065582387    0.019794374    0.069071868    574.20364      37.401708     -2025.9139     -2025.9139    
      4850   0.485          0.0089619785  -0.067448189    0.019482089    0.070775187    573.31996      37.208694     -2026.1069     -2026.1069    
      4900   0.49           0.0091352854  -0.067539966    0.01922327     0.070814085    565.52326      37.024287     -2026.2913     -2026.2913    
      4950   0.495          0.0096669132  -0.067926258    0.018771632    0.07113227     560.51901      36.839946     -2026.4757     -2026.4757    
      5000   0.5            0.0096624363  -0.068100836    0.018500225    0.071227416    554.0051       36.647392     -2026.6682     -2026.6682    
      5050   0.505          0.0092774136  -0.068449436    0.018204301    0.071433831    543.40834      36.450473     -2026.8651     -2026.8651    
